,Date,StartupName,IndustryVertical,SubVertical,CityLocation,InvestorsName,InvestmentType,AmountInUSD,no_of_investors,lds,year
502,2016-12-23,MyAdvo,Consumer Internet,Legal Advice Platform,new delhi,"Pradyumna Dalmia, S. Somasegar & Others",Seed Funding,1070000,2.0,"['Pradyumna Dalmia', ' S. Somasegar & Others']",2016
503,2016-12-23,Asocon,Technology,Process management startup,noida,Quarizon,Seed Funding,1070000,1.0,['Quarizon'],2016
504,2016-12-23,LexComply,Consumer Internet,Compliance Management Software,new delhi,Ajay Relan,Seed Funding,1070000,1.0,['Ajay Relan'],2016
505,2016-12-26,The,eCommerce,Art & Lifestyle ECommerce Store,chennai,"The Chennai Angels, Ritesh Mehta, Aruna Ganesh Ram",Seed Funding,1070000,3.0,"['The Chennai Angels', ' Ritesh Mehta', ' Aruna Ganesh Ram']",2016
506,2016-12-26,Pandorum,Technology,3D printed experimental Human Liver tissue creator,bangalore,"Sachin Bansal, Binny Bansal",Seed Funding,1070000,2.0,"['Sachin Bansal', ' Binny Bansal']",2016
507,2016-12-26,Dekkho,Consumer Internet,Video Streaming platform,mumbai,undisclosed investors,Seed Funding,1200000,1.0,['undisclosed investors'],2016
508,2016-12-26,Shadowfox,Logistics,On-Demand Delivery Service,gurgaon,Eight Roads Ventures,Private Equity,10000000,1.0,['Eight Roads Ventures'],2016
509,2016-12-27,ShopX,eCommerce,SAAS ECommerce Retail app,bangalore,Nandan Nilekani,Private Equity,5000000,1.0,['Nandan Nilekani'],2016
510,2016-12-28,BookEventz,Consumer Internet,Online event-booking platform,mumbai,"Lead Angels, Mumbai Angels, LetsVenture, Girish Mathrubootham, Anbu Pandian",Seed Funding,1070000,5.0,"['Lead Angels', ' Mumbai Angels', ' LetsVenture', ' Girish Mathrubootham', ' Anbu Pandian']",2016
511,2016-12-29,Healthifyme,Consumer Internet,Fitness Mobile App,bangalore,NB Ventures,Private Equity,1000000,1.0,['NB Ventures'],2016
512,2016-12-29,LetsMD,Consumer Internet,Healthcare plan comparison platform,new delhi,"WaterBridge Ventures,",Seed Funding,1070000,2.0,"['WaterBridge Ventures', '']",2016
513,2016-12-29,Justbooks,Consumer Internet,Library Chain Aggregator,bangalore,CoCreate Ventures,Seed Funding,1070000,1.0,['CoCreate Ventures'],2016
514,2016-12-30,InstantPay,Consumer Internet,Digital payments & recharge platform,new delhi,"RB Investments,  Kaleden Holdings",Private Equity,1070000,2.0,"['RB Investments', '\xa0 Kaleden Holdings']",2016
515,2016-01-11,PickMyLaundry,Consumer Internet,On-Demand Washing & Dry Cleaning Services,new delhi,"Kedar Lele, GHV Accelerator",Seed Funding,200000,2.0,"['Kedar Lele', ' GHV Accelerator']",2016
516,2016-02-11,FreshDesk,Consumer Internet,SAAS Based HelpDesk Services,chennai,"Sequoia Capital India, Accel Partners",Private Equity,55000000,2.0,"['Sequoia Capital India', ' Accel Partners']",2016
